,id,response_mode,id,url,name,families,full_name,variant
27,7746,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
28,7752,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
29,8696,list,527,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/527/,Starship,"[{'response_mode': 'list', 'id': 156, 'name': 'Starship'}]",Starship V2,V2
30,8665,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
31,8685,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
32,8653,list,24,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/24/,Soyuz 2.1a,"[{'response_mode': 'list', 'id': 147, 'name': 'Soyuz'}, {'response_mode': 'list', 'id': 190, 'name': 'Soyuz 2'}]",Soyuz 2.1a,
33,8708,list,522,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/522/,Starship,"[{'response_mode': 'list', 'id': 156, 'name': 'Starship'}]",Starship V3,V3
34,8767,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
35,8644,list,527,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/527/,Starship,"[{'response_mode': 'list', 'id': 156, 'name': 'Starship'}]",Starship V2,V2
36,8730,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
37,2540,list,204,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/204/,H3-24,"[{'response_mode': 'list', 'id': 86, 'name': 'H3'}]",H3-24,24
38,8806,list,84,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/84/,Long March 2F/G,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 109, 'name': 'Long March 2'}]",Long March 2F/G,F/G
39,8911,list,84,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/84/,Long March 2F/G,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 109, 'name': 'Long March 2'}]",Long March 2F/G,F/G
40,8881,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
