,id,name,abbrev,celestial_body
100,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
101,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
102,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
103,13,Polar Orbit,PO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
104,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
105,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
106,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
107,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
108,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
109,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
110,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
111,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
112,13,Polar Orbit,PO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
113,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
114,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
115,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
116,13,Polar Orbit,PO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
117,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
118,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
119,13,Polar Orbit,PO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
120,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
121,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
122,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
123,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
124,2,Geostationary Transfer Orbit,GTO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
125,2,Geostationary Transfer Orbit,GTO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
126,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
127,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
128,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
129,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
130,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
131,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
132,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
133,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
134,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
135,2,Geostationary Transfer Orbit,GTO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
136,12,Medium Earth Orbit,MEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
137,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
138,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
139,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
140,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
141,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
142,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
143,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
144,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
145,17,Sun-Synchronous Orbit,SSO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
146,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
147,19,Mars Orbit,Mars,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
148,2,Geostationary Transfer Orbit,GTO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
149,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
150,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
151,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
152,9,Lunar flyby,Lunar flyby,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
153,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
154,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
155,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
156,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
157,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
158,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
159,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
160,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
161,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
162,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
163,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
164,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
165,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
166,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
167,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
168,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
169,15,Suborbital,Sub,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
170,8,Low Earth Orbit,LEO,"{'response_mode': 'list', 'id': 1, 'name': 'Earth'}"
