,response_mode,id,url,name,image,info_url,wiki_url
0,list,39,https://lldev.thespacedevs.com/2.3.0/programs/39/,Small Innovative Missions for Planetary Exploration,,https://soma.larc.nasa.gov/simplex/,https://en.wikipedia.org/wiki/Small_Innovative_Missions_for_Planetary_Exploration
1,list,22,https://lldev.thespacedevs.com/2.3.0/programs/22/,Copernicus,"{'id': 1879, 'name': '[AUTO] Copernicus - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/copernicus_program_20221129162831.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194023.png', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}",https://www.copernicus.eu,https://en.wikipedia.org/wiki/Copernicus_Programme
